CustomerID,Name,Gender,Age,Location,SignUpDate,LastLoginDate,TotalSpend,NoOfOrders,PreferredCategory,PaymentMethod,DeviceUsed,RatingGiven,IsPremiumMember
CUST1016,Holly Wood,Male,42,South Christianchester,2025-02-22,2025-05-08,8825,9,Books,Debit Card,Desktop,5,No
CUST1017,Derek Zuniga,Female,29,Port Courtney,2025-03-13,2025-04-30,28995,13,Beauty,Debit Card,Mobile,2,No
CUST1018,Lisa Jackson,Male,32,Luisland,2023-08-03,2025-05-06,32250,10,Books,Cash on Delivery,Tablet,5,No
CUST1019,Carla Gray,Male,43,South Angelaside,2024-02-21,2025-04-24,30119,4,Beauty,Debit Card,Mobile,5,No
CUST1020,Margaret Hawkins DDS,Female,58,Melissahaven,2023-02-16,2025-04-21,40961,14,Books,Debit Card,Mobile,5,No
CUST1021,Patty Perez,Male,62,Starktown,2024-06-16,2025-05-08,8764,14,Beauty,Debit Card,Mobile,3,Yes
CUST1022,Ethan Adams,Male,43,Rodriguezberg,2025-04-16,2025-05-09,13186,7,Books,Wallet,Desktop,5,No
CUST1023,Tommy Walter,Male,64,New Brianna,2025-02-08,2025-05-09,46984,9,Books,Debit Card,Mobile,3,No
CUST1024,Matthew Foster,Male,49,North Annaville,2023-05-29,2025-04-18,24726,13,Clothing,Credit Card,Tablet,4,No
CUST1025,Judy Baker,Female,27,Mikaylastad,2022-06-27,2025-04-28,7221,15,Beauty,Credit Card,Mobile,1,Yes
CUST1026,Justin Baker,Male,33,Bakerfort,2022-11-15,2025-05-06,21109,9,Beauty,Cash on Delivery,Desktop,1,No
CUST1027,Stephanie Ross,Female,24,Johnsonview,2023-07-18,2025-05-05,7873,9,Beauty,Wallet,Tablet,4,No
CUST1028,Zachary Hicks,Female,34,Thomasfurt,2024-06-17,2025-04-17,39175,10,Electronics,Credit Card,Tablet,3,No
CUST1029,Anthony Rodriguez,Male,40,South Pamelamouth,2022-08-25,2025-05-07,49395,11,Books,Wallet,Tablet,3,Yes
CUST1030,Rebecca Henderson,Female,43,North Julie,2024-11-29,2025-04-28,29437,8,Beauty,Wallet,Tablet,2,Yes
CUST1031,James Ferrell,Male,38,Pennytown,2023-11-26,2025-04-21,6156,9,Electronics,Cash on Delivery,Mobile,4,No
CUST1032,Tricia Valencia,Male,39,Lisaport,2024-11-01,2025-04-20,9484,9,Clothing,Wallet,Desktop,1,Yes
CUST1033,Nathan Maldonado,Female,24,Juanfort,2024-05-29,2025-04-28,30484,11,Beauty,Debit Card,Tablet,5,No
CUST1034,Debra Davidson,Other,31,Port Jeremyport,2024-10-08,2025-04-26,8786,14,Beauty,Wallet,Tablet,1,Yes
CUST1035,Jeffrey Chavez,Female,32,Schroedermouth,2024-03-21,2025-05-09,6401,14,Electronics,Cash on Delivery,Desktop,2,No
CUST1036,Sherri Baker,Male,24,Jessicaland,2023-06-18,2025-05-04,32052,11,Books,Cash on Delivery,Mobile,3,No
CUST1037,Cassandra Gaines,Male,26,South Jason,2025-01-13,2025-04-28,26209,10,Clothing,Cash on Delivery,Tablet,3,No
CUST1038,Elizabeth Fowler,Female,25,Figueroahaven,2025-04-13,2025-05-11,31555,5,Beauty,Credit Card,Mobile,3,No
CUST1039,Brittany Farmer,Male,40,Lorihaven,2024-05-22,2025-04-16,38185,16,Books,Debit Card,Mobile,3,No
CUST1040,Paula Moreno,Male,46,North Larry,2025-04-26,2025-05-10,8929,9,Clothing,Credit Card,Mobile,,Yes
CUST1041,Fred Smith,Female,35,Taylorhaven,2022-11-15,2025-04-17,15216,6,Home,Net Banking,Mobile,4,Yes
CUST1042,Sherry Decker,Male,48,East Jamesborough,2023-12-14,2025-04-16,49063,6,Home,Debit Card,Tablet,1,No
CUST1043,Anthony Humphrey,Female,47,East Antonioton,2024-07-18,2025-05-08,11638,9,Clothing,Wallet,Tablet,3,No
CUST1044,Angelica Tucker,Male,56,Janetview,2024-10-23,2025-04-19,35798,10,Electronics,Cash on Delivery,Mobile,5,No
CUST1045,Philip Cannon,Female,52,Madisonhaven,2022-06-10,2025-05-08,23929,5,Clothing,Net Banking,Mobile,3,No
CUST1046,John Pierce,Male,35,Reidville,2023-06-21,2025-05-04,6272,6,Clothing,Debit Card,Desktop,1,No
CUST1047,Shane Henderson,Female,59,East Nathanmouth,2023-01-21,2025-05-04,48744,10,Electronics,Credit Card,Desktop,4,No
CUST1048,Joshua Blair,Female,56,Port Thomas,2024-11-02,2025-04-18,49019,9,Electronics,Cash on Delivery,Desktop,4,Yes
CUST1049,Eric Carney,Male,34,Maxview,2022-08-12,2025-05-06,36232,12,Books,Credit Card,Tablet,4,No
CUST1050,Jessica Holmes,Other,31,West Anthonyton,2022-12-27,2025-05-11,40405,10,Books,Debit Card,Desktop,1,No
CUST1051,Danny Morgan,Female,48,Port Ashley,2023-09-22,2025-04-26,17847,10,Electronics,Debit Card,Tablet,2,No
CUST1052,Crystal Robinson,Female,41,Port Jeffrey,2024-04-29,2025-05-01,17420,7,Home,Net Banking,Tablet,4,No
CUST1053,Mark Perez,Female,52,Lake Jamie,2025-04-24,2025-04-26,32322,12,Home,Wallet,Tablet,2,No
CUST1054,Shannon Jones,Female,61,Palmertown,2022-12-10,2025-05-12,47159,8,Clothing,Credit Card,Tablet,4,No
CUST1055,Michael Lewis,Female,62,Buckburgh,2023-11-20,2025-04-17,40608,10,Beauty,Net Banking,Desktop,4,No
CUST1056,Timothy Duncan,Male,51,East Johnnyport,2023-01-22,2025-05-08,24063,6,Clothing,Cash on Delivery,Mobile,3,Yes
CUST1057,Richard Aguirre,Male,20,Rodneyfurt,2022-08-04,2025-04-14,8467,11,Clothing,Wallet,Mobile,5,Yes
CUST1058,Brent Jordan,Male,54,Stephenborough,2023-07-11,2025-04-19,45683,10,Beauty,Net Banking,Mobile,5,No
CUST1059,John Daniel,Male,60,Turnerhaven,2023-11-26,2025-05-06,12371,12,Electronics,Credit Card,Desktop,4,No
CUST1060,Victoria Garcia,Male,57,Silvatown,2024-02-24,2025-04-22,29263,10,Home,Debit Card,Mobile,1,No
CUST1061,Gerald Hensley,Male,43,Annaport,2025-01-26,2025-04-22,12416,10,Clothing,Cash on Delivery,Desktop,2,Yes
CUST1062,Connor West,Female,40,Gabriellefort,2023-11-18,2025-05-03,9234,13,Beauty,Credit Card,Desktop,3,Yes
CUST1063,Donald Wright,Male,61,West Vanessamouth,2022-07-28,2025-04-16,34113,8,Books,Wallet,Desktop,2,No
CUST1064,Jessica Callahan,Male,56,Joseport,2023-08-07,2025-04-18,28679,10,Clothing,Wallet,Mobile,,No
CUST1065,Amber Kidd,Female,32,East Zachary,2023-08-10,2025-05-04,35762,9,Home,Debit Card,Mobile,2,No
CUST1066,Tracy House,Male,21,North Linda,2024-08-13,2025-04-28,13177,15,Electronics,Debit Card,Mobile,3,No
CUST1067,Carol Tucker,Female,46,Guerreroberg,2025-01-30,2025-04-29,18768,10,Clothing,Cash on Delivery,Tablet,3,Yes
CUST1068,James Brown,Male,39,Lake Tylerport,2022-09-10,2025-05-12,12830,11,Clothing,Cash on Delivery,Desktop,4,No
CUST1069,William Baker,Other,42,Rebeccafurt,2024-07-20,2025-05-06,21233,13,Beauty,Debit Card,Tablet,2,No
CUST1070,Jordan Henderson,Female,30,Doyleshire,2023-03-11,2025-05-05,38447,8,Books,Debit Card,Desktop,3,Yes
CUST1071,Whitney Peters,Male,35,West Jessica,2025-01-13,2025-04-26,27786,8,Books,Wallet,Mobile,3,No
CUST1072,Brittney Phillips,Male,50,Lake Amanda,2023-02-22,2025-04-30,7110,7,Electronics,Debit Card,Desktop,5,Yes
CUST1073,Lauren Daniels,Female,33,Knoxstad,2022-10-07,2025-04-23,6930,10,Home,Net Banking,Desktop,1,Yes
CUST1074,Amy Silva,Female,62,Meganside,2024-11-29,2025-04-24,40422,11,Electronics,Credit Card,Tablet,5,Yes
CUST1075,Sarah Moore,Female,59,West Connor,2023-01-28,2025-04-22,14328,8,Clothing,Debit Card,Desktop,5,Yes
CUST1076,Angela Lopez,Female,61,Lake Jonathan,2024-09-04,2025-04-17,43413,10,Clothing,Cash on Delivery,Mobile,3,No
CUST1077,Megan Young,Male,19,Lake Rachel,2023-09-27,2025-05-13,31997,8,Books,Net Banking,Desktop,4,No
CUST1078,Steve Sanchez,Male,52,East Michaelport,2023-09-17,2025-04-26,39756,4,Home,Cash on Delivery,Desktop,1,No
CUST1079,Lisa Barnes,Male,59,Frenchmouth,2025-04-12,2025-04-19,37118,12,Beauty,Net Banking,Desktop,,No
CUST1080,Kelly Donovan,Female,51,Jorgeport,2023-08-24,2025-05-05,46832,9,Home,Debit Card,Tablet,4,Yes
CUST1081,Mike Allen,Female,47,Yorkfort,2023-07-09,2025-05-09,27026,8,Clothing,Credit Card,Desktop,3,Yes
CUST1082,Michael Evans,Male,30,Port Cynthiashire,2025-04-12,2025-04-14,30658,10,Beauty,Cash on Delivery,Desktop,3,No
CUST1083,Paul Jones,Male,30,South Pamelahaven,2025-05-02,2025-04-14,25532,11,Home,Net Banking,Tablet,1,No
CUST1084,Zachary Ferrell,Male,35,Port Erinhaven,2025-04-17,2025-05-03,38346,14,Home,Wallet,Tablet,,Yes
CUST1085,Daniel Baker,Male,49,Robertberg,2023-11-28,2025-04-19,45436,7,Beauty,Debit Card,Tablet,1,No
CUST1086,Shirley Suarez,Female,49,East Matthew,2022-10-09,2025-04-14,30294,6,Clothing,Credit Card,Tablet,4,No
CUST1087,Christopher Bass,Female,52,Thomasburgh,2024-08-21,2025-04-22,5948,12,Home,Debit Card,Mobile,3,No
CUST1088,Lisa Archer,Female,56,South Marvinburgh,2024-10-31,2025-05-07,29361,14,Beauty,Wallet,Mobile,5,No
CUST1089,Aimee Montoya,Male,63,Cynthiatown,2023-11-11,2025-05-06,28641,8,Clothing,Credit Card,Desktop,2,Yes
CUST1090,Matthew Mcmillan,Male,46,Hillburgh,2022-12-23,2025-05-03,9574,8,Beauty,Wallet,Mobile,4,No
CUST1091,Brian Rodriguez,Female,46,South Kristen,2022-06-03,2025-05-13,6906,11,Beauty,Debit Card,Desktop,3,Yes
CUST1092,Denise Jacobs,Female,61,East Christinachester,2022-12-12,2025-05-07,32323,10,Home,Net Banking,Mobile,4,No
CUST1093,Christina Walters,Female,33,Pattersonfort,2024-07-26,2025-04-28,23791,9,Clothing,Debit Card,Tablet,1,Yes
CUST1094,John Whitehead,Female,61,Smithside,2023-07-25,2025-05-13,42068,7,Home,Debit Card,Tablet,2,No
CUST1095,Anna Henderson,Female,64,Lake Nathan,2023-12-14,2025-05-01,32503,14,Electronics,Debit Card,Mobile,2,Yes
CUST1096,Aaron Wise,Female,27,West Katherinehaven,2024-06-05,2025-05-03,47351,13,Electronics,Cash on Delivery,Mobile,4,No
CUST1097,Deborah Figueroa,Male,47,North Erica,2024-02-13,2025-04-28,34906,11,Clothing,Wallet,Desktop,2,No
CUST1098,Jessica Smith,Male,42,East Heather,2023-10-24,2025-04-18,23812,10,Beauty,Wallet,Desktop,4,No
CUST1099,Stephen Mckee,Male,56,Larryville,2023-01-22,2025-04-20,43608,8,Home,Wallet,Desktop,2,No
CUST1100,Sandra Aguilar,Male,37,Gordonport,2022-10-20,2025-04-20,1882,11,Home,Cash on Delivery,Tablet,5,No
CUST1101,Cameron Parker,Female,22,North Madison,2023-04-17,2025-04-14,34671,15,Clothing,Net Banking,Tablet,5,No
CUST1102,Rebecca Valencia,Male,18,Stacymouth,2023-01-09,2025-04-23,42279,9,Clothing,Debit Card,Tablet,4,No
CUST1103,Christine Wright,Female,47,Ryanberg,2024-07-03,2025-04-19,3792,12,Electronics,Net Banking,Tablet,3,No
CUST1104,Richard Henson,Female,20,Wendyfort,2023-04-22,2025-04-14,42279,9,Books,Cash on Delivery,Desktop,2,No
CUST1105,Marc Moore,Male,62,Karenburgh,2023-03-02,2025-04-23,33687,7,Clothing,Wallet,Tablet,1,No
CUST1106,Sharon Cherry,Male,31,Smithbury,2024-09-27,2025-04-15,12911,12,Books,Debit Card,Tablet,3,No
CUST1107,Sierra Johnson,Female,47,East Jessica,2024-12-21,2025-04-24,37785,15,Clothing,Credit Card,Tablet,4,No
CUST1108,Evelyn Galvan,Male,21,North Michael,2025-04-19,2025-05-07,15922,10,Beauty,Credit Card,Tablet,4,No
CUST1109,Sharon Cochran,Male,35,South Nancyview,2024-08-07,2025-04-21,42968,16,Beauty,Net Banking,Mobile,5,No
CUST1110,Richard Rodriguez,Male,54,New Virginiaville,2024-08-17,2025-04-25,32871,6,Electronics,Wallet,Desktop,3,No
CUST1111,Shannon Walker,Male,42,North Hannahchester,2024-09-16,2025-05-05,6193,14,Electronics,Credit Card,Desktop,4,Yes
CUST1112,Julia Torres,Female,18,Jamesside,2025-05-08,2025-05-10,34035,9,Books,Net Banking,Tablet,3,No
CUST1113,Crystal Johnson,Female,63,Thomasberg,2022-11-07,2025-04-23,15318,16,Clothing,Cash on Delivery,Mobile,4,No
CUST1114,Garrett Lin,Female,32,Lake Gina,2024-02-21,2025-04-18,31738,5,Home,Net Banking,Desktop,3,No
CUST1115,Diana May,Female,26,West Robertville,2024-04-28,2025-04-28,31374,6,Electronics,Net Banking,Desktop,3,No
CUST1116,William Herrera,Female,32,Cindyberg,2022-09-09,2025-05-06,27215,14,Home,Net Banking,Tablet,3,Yes
CUST1117,Ashley Waller,Male,41,Rivasville,2022-11-11,2025-04-21,28105,8,Home,Debit Card,Tablet,4,No
CUST1118,Victor Baker,Female,21,West Danielville,2022-12-03,2025-05-07,34817,8,Clothing,Net Banking,Desktop,5,No
CUST1119,Jeffrey Chandler,Female,29,Gonzalezborough,2022-06-09,2025-05-04,31674,5,Books,Net Banking,Desktop,3,No
CUST1120,Larry Dixon,Female,54,Marieborough,2024-05-27,2025-04-15,10456,9,Clothing,Debit Card,Mobile,1,Yes
CUST1121,Kenneth Scott,Female,54,Jadeport,2023-11-05,2025-04-19,39408,10,Electronics,Debit Card,Desktop,3,No
CUST1122,April Frost,Male,60,North Amy,2023-09-10,2025-04-22,11337,11,Home,Cash on Delivery,Desktop,4,No
CUST1123,Michelle Harmon,Male,23,Lake Sarah,2025-04-21,2025-04-21,4216,7,Clothing,Wallet,Tablet,2,Yes
CUST1124,Helen Jones,Male,56,Jimmytown,2023-11-28,2025-05-05,4981,9,Clothing,Credit Card,Desktop,4,No
CUST1125,Erin Edwards,Male,63,North Maryfort,2022-12-15,2025-05-07,24782,9,Clothing,Credit Card,Tablet,,Yes
CUST1126,Michelle Evans,Female,41,North Kimberly,2024-03-30,2025-05-06,7048,12,Electronics,Net Banking,Desktop,5,No
CUST1127,Jason Powell,Female,28,Lake Jenniferview,2024-11-27,2025-04-14,38105,16,Books,Cash on Delivery,Desktop,2,Yes
CUST1128,Cameron Fisher,Male,30,South Vanessa,2024-08-03,2025-05-05,8258,10,Clothing,Net Banking,Desktop,5,Yes
CUST1129,Megan Orr,Female,51,Josephton,2023-10-27,2025-05-12,44168,5,Electronics,Credit Card,Mobile,4,No
CUST1130,Elizabeth Kelley,Male,42,Port Greggton,2023-02-05,2025-04-25,23677,13,Home,Debit Card,Tablet,3,Yes
CUST1131,Dustin Jordan,Male,24,Michaelmouth,2023-08-30,2025-04-23,24522,5,Beauty,Wallet,Mobile,4,Yes
CUST1132,Mary Marshall,Male,21,Rodgersville,2022-06-27,2025-04-28,41261,17,Electronics,Cash on Delivery,Desktop,5,No
CUST1133,Daniel Kennedy,Male,25,North Melissaburgh,2022-11-14,2025-05-11,6042,12,Beauty,Debit Card,Mobile,3,No
CUST1134,Rebecca Jackson,Female,37,Michaelmouth,2023-04-24,2025-05-03,25976,15,Clothing,Wallet,Tablet,3,No
CUST1135,Jose Schultz,Male,46,Natalieland,2022-11-29,2025-04-16,31284,13,Clothing,Cash on Delivery,Desktop,3,No
CUST1136,Robert Potter,Female,62,Lisaburgh,2025-04-26,2025-04-30,23240,8,Electronics,Cash on Delivery,Mobile,4,No
CUST1137,Courtney Gonzalez,Female,63,South Ricardomouth,2022-12-21,2025-04-14,25317,6,Beauty,Credit Card,Mobile,2,No
CUST1138,David Alvarez,Male,27,Maryfort,2025-04-16,2025-04-18,48096,11,Clothing,Debit Card,Tablet,5,Yes
CUST1139,Angel Perry,Other,60,Banksburgh,2023-04-30,2025-05-04,16552,9,Home,Cash on Delivery,Mobile,4,Yes
CUST1140,Cheyenne Horton,Other,51,East Heatherton,2023-09-03,2025-05-04,35653,7,Books,Cash on Delivery,Tablet,4,No
CUST1141,David Douglas Jr.,Male,43,North Robert,2022-11-24,2025-05-08,47576,8,Books,Wallet,Desktop,1,No
CUST1142,Patricia Rodriguez,Female,58,Phammouth,2023-04-04,2025-05-12,1171,12,Clothing,Credit Card,Desktop,4,No
CUST1143,Christopher Rubio,Male,20,New Noah,2022-12-02,2025-05-12,663,11,Beauty,Net Banking,Mobile,2,No
CUST1144,Amber Wright,Male,23,Cherylberg,2022-09-13,2025-05-10,41924,11,Clothing,Credit Card,Desktop,1,No
CUST1145,Joyce Solis,Male,22,Knappville,2024-03-03,2025-04-28,44502,10,Beauty,Net Banking,Desktop,4,Yes
CUST1146,Victoria Larson,Female,22,Alexanderland,2025-04-21,2025-04-15,5295,12,Home,Debit Card,Mobile,3,Yes
CUST1147,Stephanie Salazar,Female,64,Dianatown,2022-11-03,2025-05-07,11134,8,Beauty,Debit Card,Desktop,4,No
CUST1148,Kathy Rivas,Male,40,Lake Morgan,2022-09-11,2025-05-03,5298,11,Clothing,Cash on Delivery,Mobile,1,No
CUST1149,Stephanie Manning,Male,26,South Dorothybury,2022-06-12,2025-05-07,22920,4,Home,Debit Card,Tablet,3,No
CUST1150,David Wright,Female,52,Reedfurt,2024-06-04,2025-05-08,29800,7,Electronics,Cash on Delivery,Tablet,2,Yes
CUST1151,Pamela Boyd,Male,37,Port Margaret,2024-03-13,2025-05-12,24845,11,Books,Credit Card,Tablet,,No
CUST1152,Denise Jones,Male,59,North Dawnburgh,2022-07-19,2025-05-13,11249,11,Clothing,Debit Card,Mobile,4,No
CUST1153,Devon Flores,Female,52,Christianburgh,2023-03-15,2025-05-07,39095,7,Clothing,Credit Card,Mobile,4,Yes
CUST1154,Brenda Hall,Other,35,Port Travisbury,2022-10-28,2025-04-25,25621,14,Clothing,Credit Card,Desktop,3,No
CUST1155,Michelle Brown,Male,34,Taraton,2022-07-03,2025-04-16,37987,10,Home,Debit Card,Desktop,1,No
CUST1156,Joshua Perry,Female,41,New Dawn,2025-03-03,2025-05-09,28911,6,Electronics,Credit Card,Desktop,,No
CUST1157,Jason Stein,Female,20,Montoyaland,2024-07-19,2025-04-14,33861,8,Beauty,Debit Card,Desktop,3,No
CUST1158,Melissa Gates,Male,49,Wallaceshire,2024-11-20,2025-05-04,21723,10,Electronics,Debit Card,Desktop,3,Yes
CUST1159,Jamie Smith,Female,52,Millerfort,2022-08-14,2025-05-11,7894,12,Home,Debit Card,Mobile,4,No
CUST1160,Paul Castaneda,Male,55,Stewartfort,2024-05-11,2025-04-29,14556,16,Clothing,Net Banking,Mobile,1,Yes
CUST1161,Jennifer Adkins,Female,30,North Richardton,2022-11-14,2025-05-10,28880,7,Books,Credit Card,Tablet,5,No
CUST1162,Lindsey Walker,Female,64,Port Christopherport,2023-06-11,2025-04-17,26535,9,Clothing,Wallet,Tablet,4,No
CUST1163,Jeffrey Johnson,Female,42,Lake Emily,2022-07-20,2025-04-27,31120,13,Beauty,Debit Card,Tablet,3,No
CUST1164,Michael Powell,Male,26,Michaelton,2022-08-24,2025-05-04,20377,13,Books,Credit Card,Tablet,1,No
CUST1165,John Anderson,Female,21,Port Shawn,2023-08-25,2025-05-06,43904,6,Clothing,Cash on Delivery,Mobile,2,No
CUST1166,Alyssa Long,Male,31,Moranstad,2025-03-16,2025-04-19,31411,10,Books,Debit Card,Mobile,5,No
CUST1167,Alyssa Day,Male,54,Wilsonbury,2022-05-29,2025-05-08,33284,12,Electronics,Debit Card,Mobile,4,No
CUST1168,Joel Williams,Male,51,West Michaelport,2022-10-10,2025-04-30,3691,9,Home,Wallet,Desktop,2,No
CUST1169,Daniel Murphy,Female,28,Jacquelineton,2022-11-22,2025-05-05,33660,5,Clothing,Net Banking,Desktop,1,No
CUST1170,Jamie Walton,Female,58,South Donald,2024-12-03,2025-05-05,25500,10,Beauty,Net Banking,Tablet,4,No
CUST1171,Darlene Miller,Male,20,Rodriguezborough,2023-03-29,2025-04-15,39540,17,Electronics,Debit Card,Desktop,4,No
CUST1172,Joshua Cooke,Female,45,North Sarah,2024-11-11,2025-04-21,4131,7,Clothing,Credit Card,Mobile,3,No
CUST1173,Matthew Harrington,Male,46,Lewisborough,2023-03-20,2025-04-27,6672,15,Electronics,Cash on Delivery,Tablet,3,No
CUST1174,Nicole Herring,Female,26,Danielchester,2023-02-25,2025-04-23,42580,7,Beauty,Cash on Delivery,Tablet,2,Yes
CUST1175,Alex Hernandez,Male,20,Lake Maryshire,2025-03-20,2025-05-06,24061,12,Clothing,Credit Card,Desktop,4,Yes
CUST1176,Michael Elliott,Female,42,Port Patriciamouth,2023-11-11,2025-04-30,25317,12,Beauty,Debit Card,Tablet,,Yes
CUST1177,Michael Wang,Male,51,South Adam,2022-06-28,2025-05-05,20781,9,Books,Cash on Delivery,Desktop,2,No
CUST1178,Lawrence Adkins,Female,29,New Savannahshire,2022-10-02,2025-04-25,29171,13,Beauty,Net Banking,Desktop,4,No
CUST1179,Robert Oconnell,Male,59,Glassburgh,2022-12-26,2025-05-08,25864,7,Books,Credit Card,Tablet,3,No
CUST1180,Alexander Collins,Male,26,Lake Lisa,2023-07-18,2025-04-24,42174,11,Clothing,Wallet,Desktop,3,No
CUST1181,Tina Sanders,Male,32,South Dianemouth,2024-10-30,2025-05-12,27925,13,Books,Debit Card,Desktop,3,No
CUST1182,Angela Vaughn,Female,57,Barnesbury,2023-11-05,2025-04-30,29102,10,Clothing,Credit Card,Desktop,5,No
CUST1183,Ashley Barton,Female,42,Raymondmouth,2023-11-12,2025-05-13,23753,6,Clothing,Cash on Delivery,Desktop,3,Yes
CUST1184,Lindsay Martinez,Male,22,Shawnberg,2023-01-18,2025-05-06,23972,13,Home,Debit Card,Tablet,4,Yes
CUST1185,Dr. Hannah Patterson,Female,28,South Carrie,2024-06-29,2025-04-20,49730,7,Clothing,Net Banking,Mobile,3,No
CUST1186,Jonathan Peterson,Female,51,Meganside,2024-12-21,2025-04-28,8580,15,Books,Debit Card,Mobile,2,No
CUST1187,Samantha Garcia,Female,41,Jenniferside,2023-05-24,2025-05-02,7599,15,Home,Debit Card,Desktop,1,No
CUST1188,Madison Poole,Female,32,East Jason,2024-07-06,2025-05-04,25931,10,Home,Net Banking,Desktop,4,Yes
CUST1189,Jessica Gross,Male,55,Glendaberg,2024-10-15,2025-05-01,31686,10,Clothing,Net Banking,Desktop,2,No
CUST1190,Debra Morton,Male,25,New Amy,2022-08-28,2025-05-06,48184,5,Beauty,Debit Card,Mobile,4,Yes
CUST1191,Karen Graham,Female,22,Jenniferstad,2022-10-14,2025-04-21,30611,8,Beauty,Net Banking,Desktop,3,Yes
CUST1192,Debra Christian,Female,43,Aguilarchester,2024-10-28,2025-04-24,40351,11,Home,Credit Card,Tablet,3,Yes
CUST1193,Angelica Keith,Female,35,Nataliechester,2022-06-04,2025-04-27,23114,13,Clothing,Net Banking,Tablet,3,Yes
CUST1194,John Bishop,Male,23,New Danielfurt,2024-08-12,2025-04-18,27224,17,Beauty,Net Banking,Tablet,3,No
CUST1195,Allen Rosales,Male,54,North Ellen,2023-04-16,2025-05-07,42491,12,Clothing,Debit Card,Mobile,2,Yes
CUST1196,Daniel Salinas,Female,30,West Karen,2023-03-07,2025-04-20,5440,9,Clothing,Credit Card,Desktop,3,No
CUST1197,Spencer Haynes,Female,45,West Frances,2023-07-25,2025-04-22,29258,11,Home,Wallet,Desktop,4,No
CUST1198,Adam Vaughan,Female,22,Port Bryan,2023-02-04,2025-04-23,36724,8,Home,Wallet,Desktop,4,Yes
CUST1199,Nathan Freeman,Female,30,Jamesside,2024-08-25,2025-04-21,8288,6,Electronics,Cash on Delivery,Mobile,3,Yes
CUST1200,Melissa Brewer,Female,34,West Lisaville,2022-05-20,2025-05-13,28582,9,Beauty,Net Banking,Mobile,3,No
CUST1201,Ricky Davis II,Male,57,Lake Deborah,2022-10-14,2025-05-07,24534,10,Beauty,Net Banking,Mobile,2,Yes
CUST1202,Elizabeth Perkins,Male,62,Youngport,2023-04-11,2025-04-18,35979,7,Beauty,Credit Card,Mobile,2,No
CUST1203,Joseph Coleman,Female,49,South Paulmouth,2024-07-05,2025-05-04,11780,11,Books,Wallet,Tablet,1,No
CUST1204,Erin Warner,Female,46,North Juliaborough,2024-05-20,2025-05-07,18552,11,Clothing,Cash on Delivery,Mobile,5,Yes
CUST1205,David Martinez,Male,20,Greerstad,2023-12-04,2025-04-28,17031,8,Home,Credit Card,Mobile,2,No
CUST1206,Bryan Herrera,Male,57,Port Jenny,2025-05-02,2025-04-25,23304,10,Beauty,Net Banking,Mobile,2,Yes
CUST1207,Cathy Robinson,Female,51,West Shane,2024-11-14,2025-04-24,29403,13,Electronics,Wallet,Desktop,3,No
CUST1208,Dr. William Warren,Male,57,East Sydneyhaven,2023-02-25,2025-05-11,45357,12,Beauty,Cash on Delivery,Desktop,2,No
CUST1209,Brian Lee,Male,44,South Billyview,2024-03-26,2025-04-16,10642,8,Clothing,Debit Card,Desktop,4,Yes
