EmployeeID,Name,Age,Gender,Department,JobRole,Education,YearsAtCompany,MonthlyIncome,PerformanceRating,Attrition,OverTime,WorkLifeBalance,TrainingTimesLastYear,JobSatisfaction
E1028,Zachary Hicks,58,Male,Engineering,Engineer,Bachelors,6,98702,3,No,No,3,8,3
E1029,Anthony Rodriguez,28,Female,Engineering,Manager,Masters,1,65323,4,No,No,4,9,1
E1030,Rebecca Henderson,42,Male,Sales,Analyst,Bachelors,4,43918,2,No,No,3,3,1
E1031,James Ferrell,30,Female,Operations,Manager,Bachelors,17,140879,3,No,No,3,4,1
E1032,Tricia Valencia,39,Male,Sales,Engineer,Bachelors,10,58704,2,No,No,3,4,1
E1033,Nathan Maldonado,25,Female,HR,Engineer,Bachelors,16,84797,4,No,No,3,5,4
E1034,Debra Davidson,46,Male,Engineering,Specialist,Masters,5,68139,5,No,Yes,2,1,3
E1035,Jeffrey Chavez,35,Female,Engineering,Engineer,Bachelors,12,37793,4,No,No,2,1,2
E1036,Sherri Baker,30,Male,Engineering,Analyst,PhD,6,31097,3,No,No,3,4,3
E1037,Cassandra Gaines,47,Other,Sales,Engineer,Masters,10,101408,3,No,No,2,4,3
E1038,Elizabeth Fowler,23,Female,Marketing,Engineer,Bachelors,17,39571,3,No,No,4,0,3
E1039,Brittany Farmer,41,Male,Engineering,Manager,Masters,5,123326,3,No,Yes,1,8,2
E1040,Paula Moreno,49,Female,Sales,Analyst,Diploma,11,136205,2,No,Yes,4,1,1
E1041,Fred Smith,28,Other,Finance,Executive,Bachelors,2,126507,2,No,No,2,6,4
E1042,Sherry Decker,29,Male,Marketing,Specialist,Bachelors,18,74603,3,No,Yes,1,1,1
E1043,Anthony Humphrey,56,Male,Engineering,Executive,Masters,10,25273,1,No,No,4,7,1
E1044,Angelica Tucker,35,Female,Sales,Manager,Bachelors,1,107944,1,No,No,4,5,3
E1045,Philip Cannon,38,Male,Finance,Engineer,Masters,2,118727,4,No,No,2,7,3
E1046,John Pierce,57,Male,HR,Specialist,Masters,16,101436,3,No,No,2,9,3
E1047,Shane Henderson,25,Male,Engineering,Analyst,Bachelors,4,49741,5,No,No,2,6,2
E1048,Joshua Blair,23,Male,Marketing,Specialist,Bachelors,1,80705,3,No,Yes,3,6,4
E1049,Eric Carney,27,Male,Engineering,Manager,Diploma,11,99024,3,No,No,3,7,3
E1050,Jessica Holmes,25,Male,Engineering,Engineer,Bachelors,4,65624,2,Yes,Yes,3,8,3
E1051,Danny Morgan,50,Female,Operations,Manager,Bachelors,12,82172,3,No,Yes,4,7,2
E1052,Crystal Robinson,39,Female,Engineering,Analyst,Masters,6,84370,4,No,No,4,4,3
E1053,Mark Perez,47,Male,Engineering,Executive,Bachelors,10,38404,3,No,Yes,4,2,3
E1054,Shannon Jones,55,Female,HR,Engineer,Diploma,4,147484,4,No,Yes,3,8,1
E1055,Michael Lewis,31,Female,Engineering,Engineer,Masters,17,34128,4,No,No,2,7,1
E1056,Timothy Duncan,57,Female,Engineering,Manager,Masters,5,85394,4,No,Yes,3,5,2
E1057,Richard Aguirre,35,Male,Finance,Manager,Bachelors,2,82439,4,Yes,Yes,4,1,4
E1058,Brent Jordan,52,Male,Operations,Manager,PhD,5,58338,4,No,Yes,1,2,2
E1059,John Daniel,36,Female,Operations,Engineer,Diploma,15,40235,3,No,Yes,4,0,4
E1060,Victoria Garcia,29,Female,Marketing,Manager,Bachelors,2,115252,4,No,No,2,6,1
E1061,Gerald Hensley,35,Female,Engineering,Specialist,Masters,17,79588,3,No,Yes,3,7,2
E1062,Connor West,44,Female,Engineering,Specialist,Bachelors,3,97242,3,No,Yes,3,9,1
E1063,Donald Wright,42,Male,Sales,Specialist,Bachelors,4,149834,3,No,Yes,4,6,2
E1064,Jessica Callahan,37,Female,Finance,Engineer,Bachelors,8,56733,3,No,Yes,2,9,1
E1065,Amber Kidd,39,Male,Marketing,Manager,Masters,3,58534,1,No,Yes,2,6,3
E1066,Tracy House,45,Male,Engineering,Analyst,Diploma,0,26626,4,No,No,3,4,2
E1067,Carol Tucker,47,Female,Operations,Manager,Masters,10,83176,3,No,No,4,8,3
E1068,James Brown,46,Male,Sales,Engineer,Masters,4,120536,2,No,No,2,1,3
E1069,William Baker,50,Male,Engineering,Specialist,PhD,9,80472,3,No,No,3,4,1
E1070,Jordan Henderson,36,Female,Engineering,Engineer,PhD,2,78862,4,No,No,4,7,4
E1071,Whitney Peters,22,Male,Engineering,Manager,Masters,14,123957,3,No,Yes,4,7,2
E1072,Brittney Phillips,46,Other,Operations,Engineer,Diploma,13,138060,3,No,No,4,9,2
E1073,Lauren Daniels,28,Other,Operations,Analyst,Bachelors,4,102853,3,No,No,4,8,3
E1074,Amy Silva,30,Female,Sales,Engineer,Bachelors,7,148021,3,No,Yes,3,1,2
E1075,Sarah Moore,45,Male,Sales,Executive,Bachelors,16,63602,4,No,No,2,7,4
E1076,Angela Lopez,22,Male,Sales,Engineer,Bachelors,19,88710,4,Yes,No,4,5,4
E1077,Megan Young,29,Male,Engineering,Manager,Bachelors,18,96160,4,No,No,3,2,3
E1078,Steve Sanchez,45,Male,Finance,Executive,Diploma,3,129346,1,No,No,3,6,1
E1079,Lisa Barnes,32,Male,Marketing,Specialist,Masters,1,126181,1,No,No,3,1,4
E1080,Kelly Donovan,38,Other,Engineering,Manager,Masters,1,29606,5,No,No,3,1,3
E1081,Mike Allen,29,Male,Engineering,Analyst,Bachelors,1,138666,3,No,Yes,3,9,1
E1082,Michael Evans,56,Female,Marketing,Engineer,Masters,2,110445,3,No,No,2,1,3
E1083,Paul Jones,56,Male,Engineering,Engineer,Bachelors,8,139214,4,No,Yes,3,2,1
E1084,Zachary Ferrell,54,Female,Engineering,Manager,Masters,4,95930,3,No,No,4,6,3
E1085,Daniel Baker,26,Female,Sales,Engineer,Masters,19,134928,3,No,No,3,1,2
E1086,Shirley Suarez,49,Male,Engineering,Engineer,Masters,14,104969,2,No,No,3,5,2
E1087,Christopher Bass,28,Male,Engineering,Specialist,Bachelors,3,54659,2,No,Yes,2,7,3
E1088,Lisa Archer,30,Female,Engineering,Engineer,PhD,2,78707,4,No,No,1,7,4
E1089,Aimee Montoya,29,Female,Operations,Engineer,Bachelors,8,56871,2,No,No,3,3,1
E1090,Matthew Mcmillan,33,Female,Operations,Specialist,Bachelors,9,99918,3,No,No,3,4,2
E1091,Brian Rodriguez,55,Male,Marketing,Engineer,Diploma,16,37553,4,No,No,2,1,4
E1092,Denise Jacobs,54,Male,Finance,Specialist,Diploma,19,97691,5,No,No,4,0,1
E1093,Christina Walters,44,Female,Marketing,Analyst,Bachelors,7,107303,4,No,No,3,4,3
E1094,John Whitehead,45,Female,Finance,Engineer,Masters,18,86272,4,No,No,3,9,4
E1095,Anna Henderson,58,Male,HR,Manager,Bachelors,4,27198,3,No,No,2,8,1
E1096,Aaron Wise,56,Female,Finance,Executive,Bachelors,10,30367,5,No,No,4,3,2
E1097,Deborah Figueroa,43,Male,Sales,Analyst,Masters,3,107490,4,No,Yes,4,0,1
E1098,Jessica Smith,48,Male,Finance,Engineer,Bachelors,3,117377,4,No,Yes,3,0,3
E1099,Stephen Mckee,56,Male,Engineering,Manager,Masters,14,76794,2,No,No,1,9,1
E1100,Sandra Aguilar,22,Male,Operations,Executive,Bachelors,7,79373,1,No,Yes,1,3,2
E1101,Cameron Parker,56,Female,Finance,Specialist,Diploma,12,61499,3,Yes,Yes,3,1,1
E1102,Rebecca Valencia,58,Male,Operations,Engineer,Masters,19,44372,4,No,No,2,3,1
E1103,Christine Wright,35,Male,HR,Specialist,Masters,11,88249,3,No,No,3,2,1
E1104,Richard Henson,24,Female,Sales,Analyst,Masters,1,83415,4,Yes,No,2,2,4
E1105,Marc Moore,22,Female,Engineering,Executive,Diploma,0,31474,3,No,No,3,2,1
E1106,Sharon Cherry,26,Female,Engineering,Executive,Diploma,13,74913,1,No,No,4,0,3
E1107,Sierra Johnson,47,Female,Sales,Specialist,Masters,19,88192,4,Yes,Yes,3,6,2
E1108,Evelyn Galvan,35,Male,HR,Specialist,Masters,7,48786,3,No,No,2,4,1
E1109,Sharon Cochran,48,Female,Engineering,Analyst,Masters,15,52136,3,Yes,Yes,3,6,1
E1110,Richard Rodriguez,30,Female,Finance,Manager,Bachelors,4,91463,4,Yes,No,1,2,4
E1111,Shannon Walker,36,Female,Marketing,Engineer,Bachelors,1,43528,4,No,Yes,4,8,2
E1112,Julia Torres,36,Male,Engineering,Manager,Bachelors,14,121191,3,No,No,3,0,3
E1113,Crystal Johnson,47,Male,Sales,Executive,Masters,3,59566,4,No,No,3,4,2
E1114,Garrett Lin,34,Female,Operations,Engineer,Bachelors,3,147206,3,Yes,Yes,2,8,4
E1115,Diana May,53,Male,HR,Analyst,Masters,9,117249,3,Yes,Yes,3,1,1
E1116,William Herrera,53,Female,Marketing,Manager,Bachelors,17,101998,3,No,No,3,8,3
E1117,Ashley Waller,25,Female,Marketing,Manager,Masters,6,101899,3,No,No,3,9,4
E1118,Victor Baker,51,Female,Operations,Engineer,PhD,4,65365,3,No,No,1,6,3
E1119,Jeffrey Chandler,58,Female,Engineering,Analyst,Bachelors,3,78399,3,No,No,3,6,2
E1120,Larry Dixon,44,Female,Engineering,Analyst,Masters,14,38892,2,No,No,3,3,2
E1121,Kenneth Scott,36,Male,Finance,Manager,Masters,17,103549,3,No,No,2,2,1
E1122,April Frost,50,Female,Engineering,Manager,Bachelors,16,121363,3,No,Yes,2,5,4
E1123,Michelle Harmon,57,Female,Engineering,Specialist,Masters,5,37451,3,No,No,2,0,1
E1124,Helen Jones,34,Male,Engineering,Engineer,Bachelors,0,107370,3,No,No,4,2,3
E1125,Erin Edwards,53,Male,Operations,Analyst,Bachelors,2,50393,1,Yes,No,3,8,3
E1126,Michelle Evans,28,Male,Sales,Executive,Bachelors,8,129695,1,No,Yes,4,3,3
E1127,Jason Powell,43,Female,Operations,Engineer,Diploma,4,148834,3,No,Yes,3,4,2
E1128,Cameron Fisher,49,Male,Operations,Specialist,Diploma,5,78732,2,No,Yes,4,5,4
E1129,Megan Orr,23,Female,Engineering,Engineer,Diploma,12,97121,5,No,No,4,7,2
E1130,Elizabeth Kelley,27,Male,Engineering,Manager,PhD,2,55693,3,No,Yes,3,2,1
E1131,Dustin Jordan,49,Male,Finance,Engineer,Bachelors,2,61653,2,No,No,3,8,3
E1132,Mary Marshall,49,Female,Operations,Engineer,Bachelors,4,135277,3,No,No,3,7,4
E1133,Daniel Kennedy,41,Male,Sales,Engineer,PhD,11,109467,3,No,No,3,8,3
E1134,Rebecca Jackson,51,Female,Engineering,Executive,Masters,19,77184,2,No,No,2,4,1
E1135,Jose Schultz,32,Female,Engineering,Specialist,Bachelors,17,133822,4,No,No,2,6,3
E1136,Robert Potter,49,Female,Operations,Engineer,Masters,6,119731,3,No,Yes,4,5,2
E1137,Courtney Gonzalez,46,Male,Marketing,Engineer,Bachelors,19,77891,2,No,No,3,1,3
E1138,David Alvarez,54,Female,Engineering,Executive,Masters,11,42593,3,No,No,3,2,2
E1139,Angel Perry,22,Female,Sales,Analyst,Masters,1,123027,1,No,No,3,5,2
E1140,Cheyenne Horton,48,Female,Finance,Engineer,Masters,15,148708,3,No,No,1,7,1
E1141,David Douglas Jr.,34,Female,Sales,Engineer,Masters,1,103311,3,No,No,2,2,2
E1142,Patricia Rodriguez,24,Female,Operations,Analyst,Diploma,7,37511,4,No,Yes,3,0,4
E1143,Christopher Rubio,27,Female,Marketing,Engineer,Bachelors,0,45406,4,No,No,4,9,2
E1144,Amber Wright,29,Female,Marketing,Engineer,Masters,13,81819,4,No,No,3,5,3
E1145,Joyce Solis,48,Male,Engineering,Engineer,Masters,9,75136,2,No,No,3,8,2
E1146,Victoria Larson,30,Male,Engineering,Specialist,Masters,12,149449,3,No,Yes,3,2,4
E1147,Stephanie Salazar,58,Male,Sales,Manager,Bachelors,9,89349,1,No,No,3,8,2
E1148,Kathy Rivas,54,Male,Finance,Specialist,Diploma,12,70156,4,No,No,3,2,1
E1149,Stephanie Manning,45,Male,Sales,Analyst,Bachelors,12,36005,3,No,No,3,1,1
E1150,David Wright,36,Male,Marketing,Specialist,Bachelors,0,118457,2,No,No,3,2,4
E1151,Pamela Boyd,53,Female,Sales,Specialist,Masters,4,39199,3,No,No,2,3,3
E1152,Denise Jones,53,Male,Marketing,Executive,Bachelors,15,149920,3,No,No,4,5,3
E1153,Devon Flores,45,Female,Engineering,Analyst,Bachelors,5,134218,4,No,No,3,8,1
E1154,Brenda Hall,33,Male,Engineering,Analyst,Bachelors,3,68439,2,No,Yes,2,1,4
E1155,Michelle Brown,23,Male,Sales,Analyst,Masters,9,29644,3,No,Yes,4,8,3
E1156,Joshua Perry,24,Male,Finance,Specialist,Bachelors,10,100263,4,No,No,2,8,3
E1157,Jason Stein,58,Male,Finance,Analyst,Bachelors,1,145616,4,Yes,Yes,3,9,2
E1158,Melissa Gates,38,Female,Marketing,Executive,Masters,8,35629,5,No,No,3,7,3
E1159,Jamie Smith,23,Female,Sales,Engineer,Bachelors,13,64122,1,Yes,No,1,5,3
E1160,Paul Castaneda,23,Male,Marketing,Specialist,Bachelors,1,67879,3,No,Yes,4,4,1
E1161,Jennifer Adkins,49,Male,Marketing,Engineer,PhD,4,95741,3,No,Yes,3,1,2
E1162,Lindsey Walker,44,Male,Sales,Engineer,Masters,11,63392,1,No,No,3,4,3
E1163,Jeffrey Johnson,58,Female,Marketing,Specialist,Masters,0,103586,4,No,No,4,6,1
E1164,Michael Powell,53,Female,Engineering,Specialist,Bachelors,18,113271,4,No,No,3,1,3
E1165,John Anderson,54,Female,Marketing,Analyst,Masters,11,66945,3,No,No,3,1,1
E1166,Alyssa Long,22,Female,Sales,Executive,Masters,11,134862,3,No,No,3,5,2
E1167,Alyssa Day,40,Female,Sales,Specialist,Bachelors,19,111787,4,No,No,3,5,3
E1168,Joel Williams,23,Male,HR,Engineer,Masters,4,36151,3,No,No,3,0,4
E1169,Daniel Murphy,47,Male,Finance,Specialist,Masters,19,90331,3,No,Yes,2,2,1
E1170,Jamie Walton,53,Female,Marketing,Executive,Bachelors,1,44056,5,Yes,No,1,1,2
E1171,Darlene Miller,27,Female,Marketing,Manager,Masters,13,52922,2,No,No,4,5,3
E1172,Joshua Cooke,53,Female,Operations,Engineer,Bachelors,16,65539,4,No,No,1,0,4
E1173,Matthew Harrington,25,Female,Sales,Manager,Masters,14,102176,4,No,No,3,3,1
E1174,Nicole Herring,32,Male,Sales,Manager,Masters,16,119992,5,No,No,1,3,3
E1175,Alex Hernandez,38,Female,Engineering,Executive,Bachelors,1,118356,2,No,No,4,0,2
E1176,Michael Elliott,59,Female,HR,Specialist,Masters,7,40489,5,Yes,No,2,7,2
E1177,Michael Wang,45,Male,Finance,Manager,PhD,9,69929,1,No,No,3,6,3
E1178,Lawrence Adkins,26,Female,Engineering,Analyst,Bachelors,2,72703,3,No,No,3,8,1
E1179,Robert Oconnell,55,Female,Sales,Specialist,PhD,10,63645,2,No,No,1,9,2
E1180,Alexander Collins,27,Male,Engineering,Engineer,Bachelors,8,134110,2,Yes,No,3,2,2
E1181,Tina Sanders,43,Male,Finance,Specialist,PhD,14,109826,5,No,Yes,4,6,4
E1182,Angela Vaughn,32,Male,Engineering,Executive,Bachelors,10,141739,4,No,No,3,3,1
E1183,Ashley Barton,37,Female,Marketing,Executive,Bachelors,2,50071,3,Yes,No,2,2,1
E1184,Lindsay Martinez,54,Male,Sales,Engineer,Bachelors,6,47906,2,No,Yes,3,2,4
E1185,Dr. Hannah Patterson,30,Female,Operations,Engineer,PhD,6,45835,3,No,No,2,3,3
E1186,Jonathan Peterson,27,Female,Engineering,Engineer,Masters,3,144251,3,No,No,4,1,2
E1187,Samantha Garcia,37,Male,Operations,Executive,Masters,5,106291,3,No,No,3,6,1
E1188,Madison Poole,50,Female,HR,Specialist,PhD,18,111453,3,No,Yes,3,0,2
E1189,Jessica Gross,24,Other,Engineering,Manager,Bachelors,13,61827,4,No,No,3,5,4
E1190,Debra Morton,41,Male,Engineering,Manager,Bachelors,3,66787,3,No,No,1,5,1
E1191,Karen Graham,57,Male,Marketing,Analyst,Masters,18,81860,3,No,No,1,2,4
E1192,Debra Christian,40,Female,Engineering,Executive,Bachelors,18,144484,4,Yes,Yes,3,1,4
E1193,Angelica Keith,47,Female,Engineering,Engineer,Bachelors,16,130459,2,No,No,3,8,2
E1194,John Bishop,24,Male,Operations,Specialist,Masters,18,127445,4,No,No,4,1,3
E1195,Allen Rosales,40,Male,Finance,Executive,Bachelors,11,111624,4,No,Yes,2,0,1
E1196,Daniel Salinas,41,Male,HR,Analyst,Bachelors,16,94680,3,No,No,3,2,2
E1197,Spencer Haynes,53,Other,Engineering,Manager,Bachelors,14,109087,3,No,No,4,3,3
E1198,Adam Vaughan,28,Male,Engineering,Specialist,Bachelors,8,135225,3,No,No,1,6,3
E1199,Nathan Freeman,54,Female,Engineering,Manager,Masters,19,139507,2,No,Yes,3,9,4
E1200,Melissa Brewer,39,Female,Engineering,Specialist,Bachelors,15,135328,4,No,No,2,3,2
E1201,Ricky Davis II,22,Male,Operations,Engineer,Bachelors,17,126449,3,No,Yes,4,6,3
E1202,Elizabeth Perkins,32,Female,Marketing,Specialist,Masters,17,122687,3,No,No,2,8,3
E1203,Joseph Coleman,49,Male,Sales,Engineer,PhD,3,39608,5,No,No,4,8,4
E1204,Erin Warner,46,Female,HR,Executive,Masters,3,132519,3,No,No,4,8,2
E1205,David Martinez,44,Male,Operations,Manager,Masters,0,138657,4,No,Yes,4,3,1
E1206,Bryan Herrera,52,Female,Marketing,Specialist,Masters,4,48658,3,No,No,3,5,1
E1207,Cathy Robinson,51,Female,Operations,Specialist,Masters,11,71943,3,No,Yes,4,0,1
E1208,Dr. William Warren,56,Male,Finance,Analyst,Diploma,13,121600,2,No,No,3,4,3
E1209,Brian Lee,28,Male,Marketing,Manager,PhD,9,34011,4,No,No,3,2,3
E1210,Christopher Smith,37,Male,Marketing,Executive,Masters,17,116718,4,No,No,2,5,4
E1211,Denise Mccann,47,Male,HR,Engineer,Bachelors,9,145339,3,No,No,3,5,4
E1212,Melissa Martinez,23,Female,Engineering,Executive,Masters,15,116804,3,No,No,3,5,3
E1213,Katherine Salas,22,Female,Engineering,Analyst,Bachelors,5,124666,4,No,No,2,8,4
E1214,Julie Alexander,33,Male,Engineering,Executive,Diploma,2,58226,5,No,Yes,4,5,2
E1215,Anthony Everett,26,Female,Marketing,Engineer,Masters,19,46169,4,No,No,2,0,1
E1216,Rodney Morales,58,Female,Marketing,Manager,Masters,14,138014,4,No,No,3,5,1
E1217,Mark Brown,53,Female,Operations,Analyst,Bachelors,4,143389,5,No,No,1,1,4
E1218,Justin Torres,30,Male,Marketing,Specialist,Bachelors,5,113974,3,Yes,No,2,4,2
E1219,Bailey Duran DDS,56,Male,Engineering,Specialist,Bachelors,11,94278,1,Yes,No,3,2,4
E1220,Courtney Mills,40,Male,Finance,Manager,Bachelors,0,85940,3,No,No,3,9,1
E1221,Jeremy Dalton,37,Female,Marketing,Executive,Masters,9,126431,5,Yes,No,1,1,2
E1222,Elizabeth Oliver DDS,24,Male,Engineering,Specialist,Bachelors,2,43426,4,No,Yes,3,1,2
E1223,Theresa Clark,41,Male,HR,Analyst,Diploma,4,139927,2,No,No,2,5,1
E1224,Matthew Moore,45,Male,Engineering,Engineer,Bachelors,14,106170,3,Yes,Yes,4,0,4
E1225,Benjamin Smith,54,Female,Sales,Executive,Bachelors,3,29933,2,No,No,3,4,4
E1226,Kirk Carter,45,Male,Engineering,Engineer,Masters,18,68931,4,No,No,3,3,4
E1227,Michael Warner,32,Male,Finance,Executive,Bachelors,16,122685,3,No,Yes,4,9,4
E1228,Michael Bradshaw,29,Male,HR,Analyst,PhD,7,62531,5,No,Yes,3,0,1
E1229,Lori Guerrero,57,Male,Operations,Engineer,Bachelors,4,94199,2,Yes,Yes,2,9,1
E1230,Jessica Stephens,59,Female,Marketing,Analyst,Bachelors,3,99865,4,No,No,4,8,3
E1231,Susan Serrano,41,Male,Marketing,Engineer,Bachelors,18,65480,3,No,No,2,9,3
E1232,Christopher Parker,56,Male,Engineering,Executive,Bachelors,8,51737,3,No,No,2,3,4
E1233,Laura Roberts,46,Female,Marketing,Analyst,Masters,12,26000,3,No,No,2,1,4
E1234,Michael Lyons,56,Male,Marketing,Executive,Bachelors,16,72020,3,No,Yes,2,6,1
E1235,Kathryn Snyder,46,Male,Engineering,Executive,Masters,7,42839,3,No,No,1,0,1
E1236,Andrew Reynolds,50,Female,Operations,Engineer,Masters,18,112541,3,No,Yes,3,1,4
E1237,David Davis,39,Male,Sales,Engineer,Masters,10,34586,4,No,Yes,3,2,3
E1238,Sara Johnston,39,Male,Operations,Analyst,Bachelors,13,96230,2,Yes,No,3,3,4
E1239,Yvonne Chambers,23,Male,Engineering,Specialist,Masters,17,116673,3,No,No,2,1,2
E1240,Andrew Avila,56,Female,Engineering,Manager,Bachelors,4,87550,4,No,Yes,4,6,4
E1241,Matthew Moon,37,Female,Sales,Engineer,Masters,11,37032,2,No,Yes,3,7,1
E1242,Kevin Walters,57,Female,Engineering,Executive,Bachelors,15,34661,4,No,No,4,5,1
E1243,Brandon Bailey MD,54,Female,Engineering,Manager,Bachelors,15,62468,4,No,No,2,0,1
E1244,Shannon Rivera,25,Male,Operations,Analyst,Masters,13,45679,4,No,No,3,4,1
E1245,Donna Landry,54,Male,Operations,Manager,Masters,6,120593,1,No,No,4,4,2
E1246,Krista Gibson,35,Female,Operations,Manager,Bachelors,8,137514,4,No,No,1,4,1
E1247,Frank Cordova,42,Female,Finance,Specialist,Bachelors,2,105588,4,No,No,4,7,1
E1248,Jose Travis,41,Male,Operations,Specialist,Diploma,13,102907,3,Yes,No,3,4,3
E1249,Kimberly Gutierrez,29,Female,Engineering,Manager,Bachelors,0,131090,3,No,No,4,3,3
E1250,Isaiah Avila,28,Male,Operations,Specialist,Bachelors,13,95902,3,No,Yes,3,7,2
E1251,Olivia Harris,24,Male,HR,Specialist,Bachelors,19,26907,3,No,Yes,4,3,3
E1252,Tanya Kim,38,Male,Engineering,Manager,Masters,17,94124,3,No,No,1,5,1
E1253,Barbara Dudley,54,Male,Operations,Engineer,Masters,2,117427,3,No,No,3,3,3
E1254,Cynthia Moore,33,Female,Operations,Specialist,Bachelors,5,98519,3,No,No,4,0,4
E1255,Kristen Davis,43,Female,Engineering,Manager,Masters,3,148344,3,No,No,4,3,4
E1256,Susan Murray MD,43,Male,Marketing,Engineer,Masters,0,122293,3,No,Yes,1,6,4
E1257,Kathleen Moran,51,Male,Sales,Specialist,Masters,2,122076,3,Yes,No,1,0,1
E1258,Denise Davenport,59,Female,Marketing,Manager,Diploma,17,100993,4,No,No,3,9,1
E1259,Mrs. Kristen Reyes,59,Male,Engineering,Specialist,Bachelors,19,40325,3,Yes,No,1,9,4
E1260,Katie Suarez,29,Female,Sales,Engineer,Diploma,19,42641,4,No,No,1,7,1
E1261,Desiree Tyler,48,Male,Sales,Manager,PhD,2,137684,3,No,No,3,0,1
E1262,Timothy Romero,48,Female,Sales,Engineer,Bachelors,15,92743,2,No,Yes,3,1,2
E1263,Diane Evans,55,Male,Marketing,Executive,PhD,6,38469,5,No,No,3,6,1
E1264,Yvonne Burns,42,Male,Sales,Analyst,Masters,8,33971,3,Yes,Yes,1,3,1
E1265,Joshua Reed,51,Male,Engineering,Executive,PhD,1,32267,2,No,No,3,2,3
E1266,Kimberly Gibson,54,Male,Finance,Specialist,Masters,2,118266,3,No,Yes,2,4,2
E1267,Colin Terry,49,Male,Engineering,Engineer,Bachelors,0,25555,3,No,Yes,3,4,2
E1268,Cynthia Rowe,54,Female,Marketing,Manager,Masters,5,85568,4,No,No,3,2,2
E1269,Patrick Thornton,26,Male,Engineering,Engineer,Bachelors,14,65928,3,No,No,3,0,4
E1270,Jasmin Alvarado,40,Male,Engineering,Specialist,Bachelors,4,130129,4,No,No,3,3,4
E1271,Veronica Simpson,25,Female,Engineering,Manager,Masters,12,93628,3,No,No,3,5,2
E1272,Jonathan Lawrence,56,Female,Finance,Executive,Diploma,7,59041,3,No,Yes,1,3,4
E1273,Shelly Alexander,38,Other,Operations,Engineer,Masters,12,26212,5,No,No,3,0,1
E1274,Joyce Bowen,49,Female,Finance,Analyst,Masters,18,55017,3,No,No,3,1,3
E1275,Matthew Moore,51,Male,HR,Specialist,Bachelors,8,117004,2,No,Yes,3,7,1
E1276,Wayne Morgan,50,Female,Marketing,Specialist,Masters,2,90044,3,No,Yes,4,4,3
E1277,Marie Christian,27,Female,Finance,Engineer,Masters,13,132289,3,Yes,No,1,2,2
E1278,Shannon James,56,Female,Marketing,Executive,Bachelors,6,27719,4,No,No,4,1,1
